district,fatalities,no_of_camps,actual_rainfall_in_mm,normal_rainfall_in_mm,no_of_landslides,full_damaged_houses
Tvm,11,94,373.8,142,0,111
Klm,5,168,644.1,258.7,2,95
Ptm,3,4352,764.9,352.7,8,741
Alp,43,2126,608.2,343.1,0,2075
Ktm,14,788,619.2,386,29,76
Idk,54,363,1478.9,527.3,143,1166
Ekm,58,1582,648.3,401.3,0,615
Tsr,72,1513,734.7,440.1,26,2889
Plk,20,165,848.8,333.8,20,1118
Mlp,30,213,913.7,395.3,30,500
Kzd,16,399,836,500.9,9,107
Wyd,6,451,1053.5,592.9,47,702
Knr,6,37,665.3,540.9,17,121
Ksd,1,2,636.9,636.3,0,3
